date,clim_tmax,clim_tmin,clim_precip,clim_prain
2010-04-04,,,,
2010-04-05,,,,
2010-04-06,,,,
2010-04-07,,,,
2010-04-08,,,,
2010-04-09,,,,
2010-04-10,,,,
2010-04-11,,,,
2010-04-12,,,,
2010-04-13,,,,
2010-04-14,,,,
2010-04-15,,,,
2010-04-16,,,,
2010-04-17,,,,
2010-04-18,,,,
2010-04-19,,,,
2010-04-20,,,,
2010-04-21,,,,
2010-04-22,,,,
2010-04-23,,,,
2010-04-24,,,,
2010-04-25,,,,
2010-04-26,,,,
2010-04-27,,,,
2010-04-28,,,,
2010-04-29,,,,
2010-04-30,,,,
2010-05-01,,,,
2010-05-02,,,,
2010-05-03,,,,
2010-05-04,,,,
2010-05-05,,,,
2010-05-06,,,,
2010-05-07,,,,
2010-05-08,,,,
2010-05-09,,,,
2010-05-10,,,,
2010-05-11,,,,
2010-05-12,,,,
2010-05-13,,,,
2010-05-14,,,,
2010-05-15,,,,
2010-05-16,,,,
2010-05-17,,,,
2010-05-18,,,,
2010-05-19,,,,
2010-05-20,,,,
2010-05-21,,,,
2010-05-22,,,,
2010-05-23,,,,
2010-05-24,,,,
2010-05-25,,,,
2010-05-26,,,,
2010-05-27,,,,
2010-05-28,,,,
2010-05-29,,,,
2010-05-30,,,,
2010-05-31,,,,
2010-06-01,,,,
2010-06-02,,,,
2010-06-03,,,,
2010-06-04,,,,
2010-06-05,,,,
2010-06-06,,,,
2010-06-07,,,,
2010-06-08,,,,
2010-06-09,,,,
2010-06-10,,,,
2010-06-11,,,,
2010-06-12,,,,
2010-06-13,,,,
2010-06-14,,,,
2010-06-15,,,,
2010-06-16,,,,
2010-06-17,,,,
2010-06-18,,,,
2010-06-19,,,,
2010-06-20,,,,
2010-06-21,,,,
2010-06-22,,,,
2010-06-23,,,,
2010-06-24,,,,
2010-06-25,,,,
2010-06-26,,,,
2010-06-27,,,,
2010-06-28,,,,
2010-06-29,,,,
2010-06-30,,,,
2010-07-01,,,,
2010-07-02,,,,
2010-07-03,,,,
2010-07-04,,,,
2010-07-05,,,,
2010-07-06,,,,
2010-07-07,,,,
2010-07-08,,,,
2010-07-09,,,,
2010-07-10,,,,
2010-07-11,,,,
2010-07-12,,,,
2010-07-13,,,,
2010-07-14,,,,
2010-07-15,,,,
2010-07-16,,,,
2010-07-17,,,,
2010-07-18,,,,
2010-07-19,,,,
2010-07-20,,,,
2010-07-21,,,,
2010-07-22,,,,
2010-07-23,,,,
2010-07-24,,,,
2010-07-25,,,,
2010-07-26,,,,
2010-07-27,,,,
2010-07-28,,,,
2010-07-29,,,,
2010-07-30,,,,
2010-07-31,,,,
2010-08-01,,,,
2010-08-02,,,,
2010-08-03,,,,
2010-08-04,,,,
2010-08-05,,,,
2010-08-06,,,,
2010-08-07,,,,
2010-08-08,,,,
2010-08-09,,,,
2010-08-10,,,,
2010-08-11,,,,
2010-08-12,,,,
2010-08-13,,,,
2010-08-14,,,,
2010-08-15,,,,
2010-08-16,,,,
2010-08-17,,,,
2010-08-18,,,,
2010-08-19,,,,
2010-08-20,,,,
2010-08-21,,,,
2010-08-22,,,,
2010-08-23,,,,
2010-08-24,,,,
2010-08-25,,,,
2010-08-26,,,,
2010-08-27,,,,
2010-08-28,,,,
2010-08-29,,,,
2010-08-30,,,,
2010-08-31,,,,
2010-09-01,,,,
2010-09-02,,,,
2010-09-03,,,,
2010-09-04,,,,
2010-09-05,,,,
2010-09-06,,,,
2010-09-07,,,,
2010-09-08,,,,
2010-09-09,,,,
2010-09-10,,,,
2010-09-11,,,,
2010-09-12,,,,
2010-09-13,,,,
2010-09-14,,,,
2010-09-15,,,,
2010-09-16,,,,
2010-09-17,,,,
2010-09-18,,,,
2010-09-19,,,,
2010-09-20,,,,
2010-09-21,,,,
2010-09-22,,,,
2010-09-23,,,,
2010-09-24,,,,
2010-09-25,,,,
2010-09-26,,,,
2010-09-27,,,,
2010-09-28,,,,
2010-09-29,,,,
2010-09-30,,,,
2010-10-01,,,,
2010-10-02,,,,
2010-10-03,,,,
2010-10-04,,,,
2010-10-05,,,,
2010-10-06,,,,
2010-10-07,,,,
2010-10-08,,,,
2010-10-09,,,,
2010-10-10,,,,
2010-10-11,,,,
2010-10-12,,,,
2010-10-13,,,,
2010-10-14,,,,
2010-10-15,,,,
2010-10-16,,,,
2010-10-17,,,,
2010-10-18,,,,
2010-10-19,,,,
2010-10-20,,,,
2010-10-21,,,,
2010-10-22,,,,
2010-10-23,,,,
2010-10-24,,,,
2010-10-25,,,,
2010-10-26,,,,
2010-10-27,,,,
2010-10-28,,,,
2010-10-29,,,,
2010-10-30,,,,
2010-10-31,,,,
2010-11-01,,,,
2010-11-02,,,,
2010-11-03,,,,
2010-11-04,,,,
2010-11-05,,,,
2010-11-06,,,,
2010-11-07,,,,
2010-11-08,,,,
2010-11-09,,,,
2010-11-10,,,,
2010-11-11,,,,
2010-11-12,,,,
2010-11-13,,,,
2010-11-14,,,,
2010-11-15,,,,
2010-11-16,,,,
2010-11-17,,,,
2010-11-18,,,,
2010-11-19,,,,
2010-11-20,,,,
2010-11-21,,,,
2010-11-22,,,,
2010-11-23,,,,
2010-11-24,,,,
2010-11-25,,,,
2010-11-26,,,,
2010-11-27,,,,
2010-11-28,,,,
2010-11-29,,,,
2010-11-30,,,,
2010-12-01,,,,
2010-12-02,,,,
2010-12-03,,,,
2010-12-04,,,,
2010-12-05,,,,
2010-12-06,,,,
2010-12-07,,,,
2010-12-08,,,,
2010-12-09,,,,
2010-12-10,,,,
2010-12-11,,,,
2010-12-12,,,,
2010-12-13,,,,
2010-12-14,,,,
2010-12-15,,,,
2010-12-16,,,,
2010-12-17,,,,
2010-12-18,,,,
2010-12-19,,,,
2010-12-20,,,,
2010-12-21,,,,
2010-12-22,,,,
2010-12-23,,,,
2010-12-24,,,,
2010-12-25,,,,
2010-12-26,,,,
2010-12-27,,,,
2010-12-28,,,,
2010-12-29,,,,
2010-12-30,,,,
2010-12-31,,,,
2011-01-01,-7.714285714285714,-12.242857142857146,1.1714285714285713,0.42857142857142855
2011-01-02,-7.014285714285713,-12.657142857142858,1.2857142857142858,0.5714285714285714
2011-01-03,-7.614285714285714,-13.62857142857143,0.4857142857142857,0.42857142857142855
2011-01-04,-8.214285714285714,-14.12857142857143,0.7000000000000001,0.42857142857142855
2011-01-05,-8.12857142857143,-14.257142857142858,0.6857142857142857,0.42857142857142855
2011-01-06,-7.814285714285715,-14.100000000000003,0.6857142857142857,0.42857142857142855
2011-01-07,-8.414285714285715,-13.385714285714286,0.6285714285714287,0.2857142857142857
2011-01-08,-8.385714285714286,-13.714285714285714,0.6,0.2857142857142857
2011-01-09,-8.085714285714285,-12.328571428571431,0.4857142857142857,0.14285714285714285
2011-01-10,-6.828571428571428,-10.542857142857144,0.4857142857142857,0.14285714285714285
2011-01-11,-5.928571428571429,-9.614285714285714,0.0,0.0
2011-01-12,-5.1,-7.928571428571429,0.0,0.0
2011-01-13,-3.9285714285714275,-6.714285714285714,0.0,0.0
2011-01-14,-3.5,-6.128571428571428,0.0,0.0
2011-01-15,-3.8428571428571425,-6.628571428571428,0.0,0.0
2011-01-16,-4.928571428571429,-7.8999999999999995,0.0,0.0
2011-01-17,-6.114285714285714,-9.157142857142857,0.0,0.0
2011-01-18,-7.371428571428571,-10.200000000000001,0.0,0.0
2011-01-19,-8.557142857142859,-11.6,0.0,0.0
2011-01-20,-9.714285714285717,-12.742857142857144,0.0,0.0
2011-01-21,-10.442857142857141,-13.585714285714287,0.0,0.0
2011-01-22,-10.685714285714285,-13.428571428571429,0.0,0.0
2011-01-23,-10.757142857142856,-13.999999999999998,0.0,0.0
2011-01-24,-11.442857142857141,-14.942857142857141,0.0,0.0
2011-01-25,-11.857142857142858,-16.142857142857142,0.2714285714285714,0.14285714285714285
2011-01-26,-11.257142857142856,-16.07142857142857,0.6857142857142857,0.2857142857142857
2011-01-27,-10.285714285714286,-15.057142857142859,1.1428571428571428,0.42857142857142855
2011-01-28,-9.0,-13.6,2.0714285714285716,0.5714285714285714
2011-01-29,-8.514285714285714,-12.928571428571427,2.7142857142857144,0.7142857142857143
2011-01-30,-7.742857142857142,-11.485714285714286,3.542857142857143,0.8571428571428571
2011-01-31,-6.0857142857142845,-9.585714285714287,3.542857142857143,0.8571428571428571
2011-02-01,-4.685714285714285,-7.3999999999999995,3.271428571428572,0.7142857142857143
2011-02-02,-4.114285714285715,-6.2142857142857135,2.857142857142857,0.5714285714285714
2011-02-03,-3.971428571428571,-6.071428571428571,2.4,0.42857142857142855
2011-02-04,-4.142857142857143,-6.485714285714287,1.5714285714285714,0.42857142857142855
2011-02-05,-3.7714285714285714,-6.228571428571429,1.342857142857143,0.42857142857142855
2011-02-06,-3.914285714285714,-6.6000000000000005,0.7714285714285714,0.42857142857142855
2011-02-07,-4.514285714285714,-7.185714285714285,0.857142857142857,0.5714285714285714
2011-02-08,-5.371428571428573,-8.114285714285714,0.857142857142857,0.5714285714285714
2011-02-09,-5.928571428571429,-8.928571428571429,0.857142857142857,0.5714285714285714
2011-02-10,-6.457142857142857,-9.257142857142856,0.9142857142857143,0.7142857142857143
2011-02-11,-7.285714285714286,-9.942857142857141,0.8142857142857143,0.5714285714285714
2011-02-12,-8.114285714285716,-10.914285714285713,0.39999999999999997,0.42857142857142855
2011-02-13,-8.357142857142858,-10.799999999999999,0.14285714285714285,0.2857142857142857
2011-02-14,-8.171428571428573,-10.742857142857142,0.17142857142857146,0.2857142857142857
2011-02-15,-8.157142857142857,-11.0,0.2285714285714286,0.42857142857142855
2011-02-16,-9.057142857142855,-11.757142857142858,0.5,0.5714285714285714
2011-02-17,-10.314285714285713,-13.271428571428572,0.4857142857142857,0.5714285714285714
2011-02-18,-10.728571428571428,-14.0,1.342857142857143,0.7142857142857143
2011-02-19,-10.657142857142857,-14.328571428571431,1.4000000000000001,0.8571428571428571
2011-02-20,-10.62857142857143,-15.057142857142859,2.6999999999999997,1.0
2011-02-21,-11.014285714285716,-15.700000000000001,2.6000000000000005,0.8571428571428571
2011-02-22,-10.3,-15.385714285714286,2.542857142857143,0.7142857142857143
2011-02-23,-8.542857142857143,-14.214285714285714,2.442857142857143,0.7142857142857143
2011-02-24,-6.014285714285714,-11.442857142857141,2.5142857142857147,0.7142857142857143
2011-02-25,-4.128571428571428,-8.957142857142857,2.3857142857142857,0.7142857142857143
2011-02-26,-2.9999999999999996,-7.085714285714286,2.9999999999999996,0.7142857142857143
2011-02-27,-1.8142857142857138,-5.399999999999999,2.2714285714285714,0.7142857142857143
2011-02-28,-0.7142857142857143,-4.028571428571429,2.4,0.8571428571428571
2011-03-01,-0.19999999999999998,-3.1142857142857143,2.4285714285714284,0.8571428571428571
2011-03-02,-0.6714285714285715,-3.3142857142857145,2.257142857142857,0.7142857142857143
2011-03-03,-1.5714285714285714,-5.057142857142858,2.2142857142857144,0.7142857142857143
2011-03-04,-2.6999999999999997,-6.457142857142857,1.4857142857142855,0.5714285714285714
2011-03-05,-3.1000000000000005,-7.614285714285713,0.8285714285714285,0.42857142857142855
2011-03-06,-3.5,-8.242857142857142,0.2571428571428572,0.2857142857142857
2011-03-07,-2.628571428571429,-8.142857142857144,0.11428571428571428,0.14285714285714285
2011-03-08,-2.3714285714285714,-7.685714285714286,0.08571428571428572,0.14285714285714285
2011-03-09,-1.8000000000000003,-7.114285714285715,0.4571428571428572,0.2857142857142857
2011-03-10,-1.242857142857143,-6.542857142857143,0.38571428571428573,0.14285714285714285
2011-03-11,-0.7999999999999999,-6.285714285714286,0.5,0.2857142857142857
2011-03-12,-1.2571428571428573,-6.485714285714287,0.48571428571428577,0.2857142857142857
2011-03-13,-1.9285714285714286,-7.614285714285715,0.48571428571428577,0.2857142857142857
2011-03-14,-3.2714285714285714,-8.985714285714286,0.5428571428571429,0.42857142857142855
2011-03-15,-3.528571428571429,-10.414285714285715,1.1857142857142857,0.5714285714285714
2011-03-16,-2.8857142857142857,-9.757142857142856,1.5999999999999999,0.5714285714285714
2011-03-17,-2.228571428571428,-8.385714285714286,1.9428571428571428,0.7142857142857143
2011-03-18,-1.4571428571428573,-7.514285714285714,2.4,0.7142857142857143
2011-03-19,-0.7428571428571429,-6.671428571428572,2.685714285714286,0.8571428571428571
2011-03-20,0.2714285714285715,-5.485714285714286,2.742857142857143,1.0
2011-03-21,1.2285714285714284,-4.342857142857143,2.7428571428571424,1.0
2011-03-22,1.457142857142857,-3.442857142857143,2.1,0.8571428571428571
2011-03-23,1.2714285714285716,-3.7285714285714286,1.5285714285714287,0.8571428571428571
2011-03-24,1.2714285714285716,-4.042857142857143,1.1857142857142857,0.7142857142857143
2011-03-25,1.5142857142857142,-3.742857142857143,1.542857142857143,0.7142857142857143
2011-03-26,1.9142857142857141,-3.2285714285714286,1.442857142857143,0.7142857142857143
2011-03-27,2.1857142857142855,-2.542857142857143,1.6,0.7142857142857143
2011-03-28,2.6000000000000005,-2.1428571428571432,1.7142857142857142,0.7142857142857143
2011-03-29,3.4142857142857146,-1.0857142857142856,1.7428571428571427,0.7142857142857143
2011-03-30,3.628571428571429,-0.5714285714285714,1.6714285714285713,0.7142857142857143
2011-03-31,3.6999999999999997,-0.07142857142857137,2.914285714285714,0.8571428571428571
2011-04-01,3.7142857142857144,0.12857142857142861,2.0428571428571427,0.8571428571428571
2011-04-02,4.0,0.35714285714285715,1.8571428571428572,0.7142857142857143
2011-04-03,4.2,0.6,2.1285714285714286,0.7142857142857143
2011-04-04,4.085714285714285,1.0428571428571427,1.957142857142857,0.5714285714285714
2011-04-05,3.871428571428571,0.8428571428571429,1.9285714285714286,0.5714285714285714
2011-04-06,4.057142857142857,0.9857142857142858,1.7857142857142858,0.42857142857142855
2011-04-07,4.714285714285714,0.8571428571428573,0.5428571428571428,0.2857142857142857
2011-04-08,5.5,0.7857142857142857,0.4857142857142857,0.14285714285714285
2011-04-09,5.942857142857143,0.7999999999999999,0.4857142857142857,0.14285714285714285
2011-04-10,6.5857142857142845,0.8714285714285716,0.0,0.0
2011-04-11,7.385714285714286,1.0571428571428572,0.0,0.0
2011-04-12,7.828571428571428,0.7857142857142857,0.0,0.0
2011-04-13,7.785714285714286,0.7857142857142858,0.6,0.14285714285714285
2011-04-14,7.528571428571428,0.4428571428571428,0.8714285714285713,0.2857142857142857
2011-04-15,7.142857142857143,0.2714285714285714,1.7428571428571427,0.42857142857142855
2011-04-16,7.000000000000001,-0.2571428571428571,1.7714285714285711,0.42857142857142855
2011-04-17,6.757142857142858,-0.6428571428571429,1.8285714285714285,0.5714285714285714
2011-04-18,6.5,-1.1285714285714286,2.057142857142857,0.7142857142857143
2011-04-19,5.985714285714287,-0.7999999999999999,3.5428571428571423,0.8571428571428571
2011-04-20,6.157142857142858,-1.0857142857142856,3.257142857142857,0.8571428571428571
2011-04-21,6.228571428571428,-1.1428571428571428,3.1428571428571432,0.8571428571428571
2011-04-22,6.742857142857143,-1.1285714285714286,2.2857142857142856,0.7142857142857143
2011-04-23,7.057142857142858,-0.7285714285714285,2.257142857142857,0.7142857142857143
2011-04-24,7.457142857142856,0.1714285714285714,2.1999999999999997,0.5714285714285714
2011-04-25,7.699999999999998,0.6714285714285714,1.9714285714285715,0.42857142857142855
2011-04-26,8.0,0.7571428571428571,1.042857142857143,0.42857142857142855
2011-04-27,8.685714285714285,1.4285714285714286,1.0142857142857142,0.42857142857142855
2011-04-28,8.9,2.542857142857143,1.2857142857142858,0.42857142857142855
2011-04-29,8.714285714285714,3.0714285714285716,1.3571428571428572,0.5714285714285714
2011-04-30,8.9,3.3000000000000003,1.3571428571428572,0.5714285714285714
2011-05-01,8.2,2.8285714285714287,3.0,0.7142857142857143
2011-05-02,8.257142857142858,2.7285714285714286,3.3857142857142857,0.8571428571428571
2011-05-03,8.742857142857144,2.6285714285714286,2.8285714285714287,0.7142857142857143
2011-05-04,8.142857142857142,2.485714285714286,4.142857142857143,0.7142857142857143
2011-05-05,8.457142857142857,2.1285714285714286,4.985714285714286,0.7142857142857143
2011-05-06,8.285714285714285,2.1714285714285713,4.8999999999999995,0.5714285714285714
2011-05-07,7.742857142857141,2.4285714285714284,4.8999999999999995,0.5714285714285714
2011-05-08,8.57142857142857,2.7142857142857144,3.3142857142857136,0.5714285714285714
2011-05-09,9.442857142857141,3.400000000000001,2.9285714285714284,0.42857142857142855
2011-05-10,10.514285714285716,4.442857142857143,3.1571428571428575,0.5714285714285714
2011-05-11,12.314285714285717,5.671428571428571,1.5571428571428572,0.42857142857142855
2011-05-12,13.542857142857141,6.828571428571428,0.2857142857142857,0.2857142857142857
2011-05-13,15.342857142857143,7.971428571428571,0.32857142857142857,0.42857142857142855
2011-05-14,17.32857142857143,9.3,0.39999999999999997,0.5714285714285714
2011-05-15,18.400000000000002,10.72857142857143,0.3428571428571429,0.42857142857142855
2011-05-16,18.828571428571426,11.842857142857143,0.3428571428571429,0.42857142857142855
2011-05-17,19.3,12.242857142857146,0.1142857142857143,0.2857142857142857
2011-05-18,19.571428571428573,12.314285714285715,0.1142857142857143,0.2857142857142857
2011-05-19,19.642857142857142,12.62857142857143,0.9,0.42857142857142855
2011-05-20,18.74285714285714,12.428571428571429,2.1714285714285713,0.42857142857142855
2011-05-21,17.52857142857143,11.857142857142858,3.4285714285714284,0.42857142857142855
2011-05-22,16.77142857142857,11.014285714285714,3.457142857142857,0.42857142857142855
2011-05-23,16.185714285714287,10.285714285714286,3.957142857142857,0.5714285714285714
2011-05-24,14.9,10.085714285714287,4.5285714285714285,0.7142857142857143
2011-05-25,13.571428571428571,9.457142857142857,5.171428571428572,0.8571428571428571
2011-05-26,12.400000000000002,8.5,5.028571428571429,0.8571428571428571
2011-05-27,12.4,8.071428571428571,3.8000000000000003,0.8571428571428571
2011-05-28,13.0,7.871428571428571,2.4714285714285715,0.7142857142857143
2011-05-29,13.828571428571427,8.0,2.442857142857143,0.7142857142857143
2011-05-30,14.571428571428571,8.528571428571428,1.9714285714285713,0.5714285714285714
2011-05-31,15.5,8.614285714285716,1.4,0.42857142857142855
2011-06-01,16.057142857142857,8.928571428571429,0.7571428571428571,0.2857142857142857
2011-06-02,16.428571428571427,9.171428571428573,0.1142857142857143,0.14285714285714285
2011-06-03,16.557142857142857,9.042857142857143,0.028571428571428574,0.0
2011-06-04,16.7,9.285714285714286,0.028571428571428574,0.0
2011-06-05,16.37142857142857,9.657142857142857,0.028571428571428574,0.0
2011-06-06,15.914285714285715,9.185714285714285,0.0,0.0
2011-06-07,16.214285714285715,9.214285714285714,0.0,0.0
2011-06-08,16.4,9.185714285714285,1.8,0.14285714285714285
2011-06-09,16.428571428571427,9.485714285714284,2.7714285714285714,0.2857142857142857
2011-06-10,16.62857142857143,9.985714285714286,3.6714285714285713,0.42857142857142855
2011-06-11,16.42857142857143,10.27142857142857,3.6714285714285713,0.42857142857142855
2011-06-12,16.22857142857143,10.257142857142856,3.685714285714286,0.42857142857142855
2011-06-13,16.085714285714285,10.471428571428572,3.685714285714286,0.42857142857142855
2011-06-14,15.614285714285712,10.328571428571427,3.7285714285714286,0.5714285714285714
2011-06-15,15.585714285714285,10.342857142857142,2.0,0.5714285714285714
2011-06-16,16.114285714285717,10.757142857142858,2.4857142857142853,0.5714285714285714
2011-06-17,15.914285714285715,10.814285714285713,1.614285714285714,0.42857142857142855
2011-06-18,15.942857142857145,10.742857142857144,1.9142857142857141,0.5714285714285714
2011-06-19,16.32857142857143,10.614285714285714,1.9,0.5714285714285714
2011-06-20,16.985714285714284,10.742857142857142,1.9,0.5714285714285714
2011-06-21,17.514285714285712,11.071428571428571,1.857142857142857,0.42857142857142855
2011-06-22,17.642857142857142,11.442857142857145,2.8,0.42857142857142855
2011-06-23,17.657142857142855,11.314285714285715,1.3571428571428572,0.2857142857142857
2011-06-24,18.17142857142857,11.514285714285714,1.3285714285714285,0.2857142857142857
2011-06-25,18.814285714285713,11.599999999999998,1.0285714285714285,0.14285714285714285
2011-06-26,19.328571428571426,11.928571428571429,1.0285714285714285,0.14285714285714285
2011-06-27,19.828571428571426,12.242857142857144,1.0285714285714285,0.14285714285714285
2011-06-28,19.842857142857145,12.799999999999999,1.0285714285714285,0.14285714285714285
2011-06-29,20.385714285714283,13.0,0.014285714285714287,0.0
2011-06-30,21.099999999999998,13.171428571428569,0.0,0.0
2011-07-01,21.871428571428574,13.414285714285713,0.0,0.0
2011-07-02,22.44285714285714,14.171428571428574,0.0,0.0
2011-07-03,23.02857142857143,14.771428571428572,0.14285714285714285,0.14285714285714285
2011-07-04,23.12857142857143,15.557142857142855,0.7571428571428571,0.2857142857142857
2011-07-05,23.82857142857143,15.942857142857141,2.8428571428571425,0.42857142857142855
2011-07-06,24.12857142857143,16.47142857142857,2.8428571428571425,0.42857142857142855
2011-07-07,24.271428571428572,16.82857142857143,2.8428571428571425,0.42857142857142855
2011-07-08,24.857142857142854,17.585714285714285,2.857142857142857,0.42857142857142855
2011-07-09,25.45714285714286,18.085714285714285,2.857142857142857,0.42857142857142855
2011-07-10,25.914285714285715,18.47142857142857,2.7142857142857144,0.2857142857142857
2011-07-11,26.514285714285712,19.071428571428573,2.1142857142857143,0.14285714285714285
2011-07-12,27.014285714285712,19.414285714285715,0.17142857142857143,0.14285714285714285
2011-07-13,27.357142857142858,19.914285714285715,0.17142857142857143,0.14285714285714285
2011-07-14,27.8,20.271428571428572,0.17142857142857143,0.14285714285714285
2011-07-15,27.671428571428567,20.242857142857144,0.5714285714285714,0.2857142857142857
2011-07-16,27.14285714285714,20.0,1.2428571428571427,0.42857142857142855
2011-07-17,26.442857142857143,19.8,1.3,0.5714285714285714
2011-07-18,25.914285714285718,19.17142857142857,1.2857142857142858,0.5714285714285714
2011-07-19,25.685714285714287,19.0,1.1857142857142857,0.5714285714285714
2011-07-20,25.5,18.785714285714285,1.1857142857142857,0.5714285714285714
2011-07-21,24.400000000000002,18.2,1.9142857142857144,0.7142857142857143
2011-07-22,24.55714285714286,17.84285714285714,1.5,0.5714285714285714
2011-07-23,25.071428571428577,18.228571428571428,0.8285714285714285,0.42857142857142855
2011-07-24,25.314285714285713,18.557142857142853,0.7714285714285714,0.2857142857142857
2011-07-25,26.04285714285714,18.714285714285715,0.7714285714285714,0.2857142857142857
2011-07-26,26.14285714285714,18.842857142857145,0.7857142857142857,0.2857142857142857
2011-07-27,25.842857142857145,18.7,0.9,0.42857142857142855
2011-07-28,26.042857142857144,19.099999999999998,0.7285714285714285,0.42857142857142855
2011-07-29,25.171428571428574,19.11428571428571,0.7571428571428571,0.42857142857142855
2011-07-30,24.571428571428566,18.285714285714285,0.7571428571428571,0.42857142857142855
2011-07-31,24.357142857142858,18.085714285714282,0.8285714285714285,0.5714285714285714
2011-08-01,23.67142857142857,17.8,2.3285714285714287,0.7142857142857143
2011-08-02,22.514285714285712,17.285714285714285,2.585714285714286,0.7142857142857143
2011-08-03,22.742857142857144,16.814285714285713,2.4714285714285715,0.5714285714285714
2011-08-04,23.82857142857143,16.82857142857143,1.9142857142857141,0.42857142857142855
2011-08-05,24.857142857142858,17.742857142857144,1.8857142857142857,0.42857142857142855
2011-08-06,24.62857142857143,18.371428571428574,2.314285714285714,0.5714285714285714
2011-08-07,24.142857142857142,18.214285714285715,4.271428571428571,0.5714285714285714
2011-08-08,23.728571428571428,18.15714285714286,2.7714285714285714,0.42857142857142855
2011-08-09,24.314285714285713,17.914285714285715,2.5,0.42857142857142855
2011-08-10,24.528571428571432,18.357142857142858,2.5,0.42857142857142855
2011-08-11,24.08571428571429,18.785714285714285,3.6571428571428575,0.5714285714285714
2011-08-12,23.71428571428572,18.285714285714285,3.6571428571428575,0.5714285714285714
2011-08-13,23.67142857142857,17.9,3.2285714285714286,0.42857142857142855
2011-08-14,23.74285714285714,17.657142857142855,1.4714285714285715,0.42857142857142855
2011-08-15,23.514285714285712,17.67142857142857,1.7857142857142858,0.5714285714285714
2011-08-16,22.985714285714288,17.628571428571426,1.7428571428571427,0.42857142857142855
2011-08-17,22.057142857142857,16.82857142857143,1.7857142857142858,0.5714285714285714
2011-08-18,21.385714285714283,15.842857142857143,0.6285714285714284,0.42857142857142855
2011-08-19,20.485714285714288,15.485714285714284,0.6285714285714284,0.42857142857142855
2011-08-20,20.228571428571428,15.285714285714286,0.8714285714285713,0.5714285714285714
2011-08-21,19.728571428571428,14.728571428571428,1.1,0.5714285714285714
2011-08-22,19.171428571428574,14.171428571428573,1.342857142857143,0.5714285714285714
2011-08-23,18.814285714285713,13.757142857142856,1.3571428571428572,0.5714285714285714
2011-08-24,18.085714285714282,13.542857142857143,1.457142857142857,0.5714285714285714
2011-08-25,17.34285714285714,13.085714285714287,2.4285714285714284,0.7142857142857143
2011-08-26,16.499999999999996,12.214285714285714,3.0142857142857147,0.8571428571428571
2011-08-27,15.614285714285716,11.528571428571428,2.7714285714285714,0.7142857142857143
2011-08-28,15.200000000000001,11.185714285714285,2.2714285714285714,0.5714285714285714
2011-08-29,15.214285714285714,10.9,1.8857142857142857,0.5714285714285714
2011-08-30,14.799999999999999,10.542857142857143,1.8999999999999997,0.5714285714285714
2011-08-31,14.214285714285717,9.957142857142857,3.4428571428571426,0.5714285714285714
2011-09-01,13.685714285714287,9.471428571428572,2.4714285714285715,0.42857142857142855
2011-09-02,13.757142857142856,9.1,1.885714285714286,0.2857142857142857
2011-09-03,14.028571428571427,9.12857142857143,1.885714285714286,0.2857142857142857
2011-09-04,14.314285714285715,9.357142857142858,1.9142857142857144,0.2857142857142857
2011-09-05,14.428571428571429,9.37142857142857,1.7428571428571427,0.14285714285714285
2011-09-06,14.857142857142858,9.614285714285716,1.7142857142857142,0.14285714285714285
2011-09-07,15.814285714285713,10.228571428571428,0.042857142857142864,0.0
